route_id,service_id,trip_id,trip_headsign
noida-nmrc-r1,daily,noida-nmrc-r1-1d0-t1,Aqua Line: Depot → Noida Sector 51
noida-nmrc-r1,daily,noida-nmrc-r1-1d0-t2,Aqua Line: Depot → Noida Sector 51
noida-nmrc-r1,daily,noida-nmrc-r1-1d0-t3,Aqua Line: Depot → Noida Sector 51
noida-nmrc-r1,daily,noida-nmrc-r1-1d0-t4,Aqua Line: Depot → Noida Sector 51
noida-nmrc-r1,daily,noida-nmrc-r1-1d0-t5,Aqua Line: Depot → Noida Sector 51
noida-nmrc-r1,daily,noida-nmrc-r1-1d1-t1,Aqua Line: Depot → Noida Sector 51
noida-nmrc-r1,daily,noida-nmrc-r1-1d1-t2,Aqua Line: Depot → Noida Sector 51
noida-nmrc-r1,daily,noida-nmrc-r1-1d1-t3,Aqua Line: Depot → Noida Sector 51
noida-nmrc-r1,daily,noida-nmrc-r1-1d1-t4,Aqua Line: Depot → Noida Sector 51
noida-nmrc-r1,daily,noida-nmrc-r1-1d1-t5,Aqua Line: Depot → Noida Sector 51
noida-nmrc-r2,daily,noida-nmrc-r2-2d0-t1,Aqua Line: Noida Sector 51 → Depot
noida-nmrc-r2,daily,noida-nmrc-r2-2d0-t2,Aqua Line: Noida Sector 51 → Depot
noida-nmrc-r2,daily,noida-nmrc-r2-2d0-t3,Aqua Line: Noida Sector 51 → Depot
noida-nmrc-r2,daily,noida-nmrc-r2-2d0-t4,Aqua Line: Noida Sector 51 → Depot
noida-nmrc-r2,daily,noida-nmrc-r2-2d0-t5,Aqua Line: Noida Sector 51 → Depot
noida-nmrc-r2,daily,noida-nmrc-r2-2d1-t1,Aqua Line: Noida Sector 51 → Depot
noida-nmrc-r2,daily,noida-nmrc-r2-2d1-t2,Aqua Line: Noida Sector 51 → Depot
noida-nmrc-r2,daily,noida-nmrc-r2-2d1-t3,Aqua Line: Noida Sector 51 → Depot
noida-nmrc-r2,daily,noida-nmrc-r2-2d1-t4,Aqua Line: Noida Sector 51 → Depot
noida-nmrc-r2,daily,noida-nmrc-r2-2d1-t5,Aqua Line: Noida Sector 51 → Depot
noida-nmrc-r3,daily,noida-nmrc-r3-3d0-t1,103B+: Botanical Garden Metro Station -> Greater Noida Authority
noida-nmrc-r3,daily,noida-nmrc-r3-3d0-t2,103B+: Botanical Garden Metro Station -> Greater Noida Authority
noida-nmrc-r3,daily,noida-nmrc-r3-3d0-t3,103B+: Botanical Garden Metro Station -> Greater Noida Authority
noida-nmrc-r3,daily,noida-nmrc-r3-3d0-t4,103B+: Botanical Garden Metro Station -> Greater Noida Authority
noida-nmrc-r3,daily,noida-nmrc-r3-3d0-t5,103B+: Botanical Garden Metro Station -> Greater Noida Authority
noida-nmrc-r3,daily,noida-nmrc-r3-3d1-t1,103B+: Botanical Garden Metro Station -> Greater Noida Authority
noida-nmrc-r3,daily,noida-nmrc-r3-3d1-t2,103B+: Botanical Garden Metro Station -> Greater Noida Authority
noida-nmrc-r3,daily,noida-nmrc-r3-3d1-t3,103B+: Botanical Garden Metro Station -> Greater Noida Authority
noida-nmrc-r3,daily,noida-nmrc-r3-3d1-t4,103B+: Botanical Garden Metro Station -> Greater Noida Authority
noida-nmrc-r3,daily,noida-nmrc-r3-3d1-t5,103B+: Botanical Garden Metro Station -> Greater Noida Authority
noida-nmrc-r4,daily,noida-nmrc-r4-4d0-t1,103B: Greater Noida Authority -> Botanical Garden Metro Station
noida-nmrc-r4,daily,noida-nmrc-r4-4d0-t2,103B: Greater Noida Authority -> Botanical Garden Metro Station
noida-nmrc-r4,daily,noida-nmrc-r4-4d0-t3,103B: Greater Noida Authority -> Botanical Garden Metro Station
noida-nmrc-r4,daily,noida-nmrc-r4-4d0-t4,103B: Greater Noida Authority -> Botanical Garden Metro Station
noida-nmrc-r4,daily,noida-nmrc-r4-4d0-t5,103B: Greater Noida Authority -> Botanical Garden Metro Station
noida-nmrc-r4,daily,noida-nmrc-r4-4d1-t1,103B: Greater Noida Authority -> Botanical Garden Metro Station
noida-nmrc-r4,daily,noida-nmrc-r4-4d1-t2,103B: Greater Noida Authority -> Botanical Garden Metro Station
noida-nmrc-r4,daily,noida-nmrc-r4-4d1-t3,103B: Greater Noida Authority -> Botanical Garden Metro Station
noida-nmrc-r4,daily,noida-nmrc-r4-4d1-t4,103B: Greater Noida Authority -> Botanical Garden Metro Station
noida-nmrc-r4,daily,noida-nmrc-r4-4d1-t5,103B: Greater Noida Authority -> Botanical Garden Metro Station
