route_id,route_short_name,route_long_name,route_type
MET_L1,Metrô L1,Linha 1: Eng. Alberto Silva - Itararé,2
A831,A831,Distrito Industrial / Terminal Parque Piauí,3
A832,A832,Santa Fé / Terminal Parque Piauí,3
A833,A833,Mário Covas / Terminal Parque Piauí,3
A834,A834,Torquato Neto - Irmã Dulce / Terminal Parque Piauí,3
A835,A835,Teresina Sul / Terminal Parque Piauí,3
A836,A836,Cerâmica Cil / Terminal Parque Piauí,3
T831,T831,Terminal Parque Piauí via Miguel Rosa / Shopping,3
T832,T832,Terminal Parque Piauí via Barão de Gurguéia,3
T833,T833,Terminal Parque Piauí via Pedro Freitas,3
