trip_id,arrival_time,departure_time,stop_id,stop_sequence
MET_L1_0,07:00:00,07:00:00,MET_ALB,1
MET_L1_0,07:04:00,07:04:00,MET_MAT,2
MET_L1_0,07:08:00,07:08:00,MET_FRE,3
MET_L1_0,07:12:00,07:12:00,MET_ILH,4
MET_L1_0,07:16:00,07:16:00,MET_SJO,5
MET_L1_0,07:19:00,07:19:00,MET_BOA,6
MET_L1_0,07:23:00,07:23:00,MET_REN,7
MET_L1_0,07:27:00,07:27:00,MET_PID,8
MET_L1_0,07:31:00,07:31:00,MET_DIR,9
MET_L1_0,07:35:00,07:35:00,MET_ITA,10
MET_L1_1,07:00:00,07:00:00,MET_ITA,1
MET_L1_1,07:04:00,07:04:00,MET_DIR,2
MET_L1_1,07:08:00,07:08:00,MET_PID,3
MET_L1_1,07:12:00,07:12:00,MET_REN,4
MET_L1_1,07:16:00,07:16:00,MET_BOA,5
MET_L1_1,07:19:00,07:19:00,MET_SJO,6
MET_L1_1,07:23:00,07:23:00,MET_ILH,7
MET_L1_1,07:27:00,07:27:00,MET_FRE,8
MET_L1_1,07:31:00,07:31:00,MET_MAT,9
MET_L1_1,07:35:00,07:35:00,MET_ALB,10
A831_0,05:00:00,05:00:00,DIST,1
A831_0,05:20:00,05:20:00,TPP,2
A831_1,05:30:00,05:30:00,TPP,1
A831_1,05:50:00,05:50:00,DIST,2
A832_0,05:00:00,05:00:00,SANTAFE,1
A832_0,05:22:00,05:22:00,TPP,2
A832_1,05:30:00,05:30:00,TPP,1
A832_1,05:52:00,05:52:00,SANTAFE,2
A833_0,05:00:00,05:00:00,TMC,1
A833_0,05:12:00,05:12:00,CENTRO,2
A833_0,05:24:00,05:24:00,TPP,3
A833_1,05:30:00,05:30:00,TPP,1
A833_1,05:42:00,05:42:00,CENTRO,2
A833_1,05:54:00,05:54:00,TMC,3
A834_0,05:00:00,05:00:00,TORQ,1
A834_0,05:20:00,05:20:00,TPP,2
A834_1,05:30:00,05:30:00,TPP,1
A834_1,05:50:00,05:50:00,TORQ,2
A835_0,05:00:00,05:00:00,TSUL,1
A835_0,05:22:00,05:22:00,TPP,2
A835_1,05:30:00,05:30:00,TPP,1
A835_1,05:52:00,05:52:00,TSUL,2
A836_0,05:00:00,05:00:00,CIL,1
A836_0,05:25:00,05:25:00,TPP,2
A836_1,05:30:00,05:30:00,TPP,1
A836_1,05:55:00,05:55:00,CIL,2
T831_0,05:00:00,05:00:00,TPP,1
T831_0,05:10:00,05:10:00,BGURG,2
T831_0,05:22:00,05:22:00,SHOP,3
T831_0,05:35:00,05:35:00,CENTRO,4
T831_0,05:43:00,05:43:00,TPP,5
T832_0,05:00:00,05:00:00,TPP,1
T832_0,05:12:00,05:12:00,BGURG,2
T832_0,05:30:00,05:30:00,CENTRO,3
T832_0,05:43:00,05:43:00,TPP,4
T833_0,05:00:00,05:00:00,TPP,1
T833_0,05:15:00,05:15:00,PFREITAS,2
T833_0,05:30:00,05:30:00,CENTRO,3
T833_0,05:43:00,05:43:00,TPP,4
