country,city,agency,feed_url,mdb_id,license,status
AE,Abu Dhabi Emirate,Department of Municipalities and Transport,https://pubftp.dmt.gov.ae/main.html?download&weblink=18511ae7285412ca93169260c239d119&realfilename=itc-abudhabi-ae_itc-abudhabi-ae_1651205153_itc-abudhabi-ae.zip,mdb-1329,,active
AE,Dubai,"Roads & Transport Authority (RTA) — Metro, Tram, Bus, Water Bus",https://www.dubaipulse.gov.ae/dataset/73765e8f-e8c4-443c-9687-288072ed9d12/resource/11515bd3-bdba-466f-ab65-f057bd123ab5/download/gtfs.7z,ae-disc-63,,active
AL,Rrethinat,ShowMeBus,https://showmebus.com/google-transit/gtfs.zip,mdb-3483,,active
AL,Tiranë,Municipality of Tirana,https://pt.tirana.al/gtfs/gtfs.zip,mdb-2345,,active
AL,Vlorë,Urban Trans Vlora,https://github.com/denisdemaj233/gtfs-vlora/releases/download/v1/gtfs-vlore.zip,mdb-3182,,active
AM,Gyumri,Georgian Railway,https://jbb.ghsq.de/gtfs/ge-georgian-railway.gtfs.zip,mdb-3108,,active
AO,Luanda,CFL - Caminhos de Ferro de Luanda (suburban rail),https://raw.githubusercontent.com/jqueguiner/gtfs/main/synthesized/AO/luanda/cfl-caminhos-de-ferro-de-luanda-suburban-rail/gtfs/,ao-llm-cfl-caminhos-de-ferro-de-luanda-suburban,,active
AR,Buenos Aires,GCBA API Transporte / SBASE — Subte (metro) vehicle positions,https://apitransporte.buenosaires.gob.ar/subtes/vehiclePositions,rtweb-ar-gcba-api-transporte-sbase-,,active
AR,Buenos Aires,GCBA — API Transporte (Sec. de Transporte y Obras Públicas),https://apitransporte.buenosaires.gob.ar/colectivos/vehiclePositions,rtweb-ar-gcba-api-transporte-sec-de,,active
AR,Buenos Aires,GCBA — API Transporte / SBASE,https://apitransporte.buenosaires.gob.ar/subtes/forecastGTFS,rtweb-ar-gcba-api-transporte-sbase,,active
AR,Cordoba,Transporte urbano de Cordoba (city buses),https://hub.tumidata.org/dataset/gtfs-cordoba,ar-disc-48,,active
AR,Pontevedra,Buenosaires~Trenes,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/transporte-y-obras-publicas/trenes-gtfs/trenes-gtfs.zip,f-buenosaires~trenes,CC-BY-2.5,active
AR,Rio Segundo,Marchiquitasrl,http://marchiquita.tk/mar.zip,f-6d6-marchiquitasrl,,active
