route_id,route_short_name,route_long_name,route_type
10,10,Troncal via Rua São Paulo,3
11,11,Troncal via Rua 2 de Setembro,3
12,12,Troncal via Escola Agrícola,3
15,15,Troncal via Ponte Tamarindo,3
30,30,Troncal via Governador Jorge Lacerda,3
31,31,Troncal via Rua dos Caçadores,3
32,32,Troncal via Água Verde,3
70,70,Troncal Proeb / Aterro,3
80,80,Troncal via Pedro Zimmermann,3
81,81,Troncal via Gustavo Zimmermann,3
82,82,Troncal via Jacob Ineichen,3
300,300,Interbairros Fortaleza / Aterro / Velha,3
MADRUGUEIRA,MAD,Madrugueira (serviço noturno entre terminais),3
