route_id,route_short_name,route_long_name,route_type
R_A,A,BTN Minasa Upa - Pasar Butung,3
R_B,B,Terminal Tamalate - Pasar Butung,3
R_C,C,Pasar Sentral - Rappokalling,3
R_D,D,Terminal Daya - Makassar Mall,3
R_E,E,Terminal Panakkukang - Makassar Mall (Timur),3
R_F,F,Terminal Tamalate - Makassar Mall (Timur),3
R_G,G,Terminal Daya - Pasar Butung,3
R_H,H,Perumnas Antang - Pasar Butung,3
R_I,I,Terminal Panakkukang - Pasar Baru,3
R_J,J,Terminal Panakkukang - Nusakambangan,3
R_B1,B1,Terminal Tamalate - Kampus Unhas,3
R_C1,C1,Korban 40 Ribu - Kampus Unhas,3
R_E1,E1,Terminal Panakkukang - Kampus Unhas,3
R_F1,F1,Terminal Tamalate - Kampus Unhas,3
