route_id,route_short_name,route_long_name,route_type
T-20,T-20,Terminal Leste - Jardim Rina,3
I-05,I-05,Jardim Santo André - Estação Utinga,3
I-06,I-06,Jardim Bom Pastor - Estação Utinga,3
S-36,S-36,Rodoviária - Parque Capuava,3
S-48,S-48,Estação Prefeito Saladino - Cidade São Jorge,3
S-60,S-60,Vila Rica - Rodoviária,3
T-12,T-12,Jardim Alzira Franco - Centro (Circular),3
T-14,T-14,Jardim Ana Maria - Centro,3
T-15,T-15,Jardim Guarará - Estação Santo André,3
T-16,T-16,Parque Capuava - Centro,3
T-17,T-17,Jardim Alvorada - Uni ABC,3
T-18,T-18,Parque Capuava - Centro,3
T-23,T-23,Cidade São Jorge - Estação Santo André,3
T-24,T-24,Estação Santo André - Estação Utinga,3
T-25,T-25,Vila Suíça - Uni ABC,3
T-27,T-27,Condomínio Maracanã - Estação Santo André,3
T-28,T-28,Jardim Mirante - Estação Santo André,3
T-29,T-29,Vila Suíça - Estação Santo André,3
TR-101,TR-101,Terminal Vila Luzita - Terminal Oeste,3
TR-103,TR-103,Terminal Vila Luzita - Paço Municipal,3
TR-141,TR-141,Terminal Vila Luzita - Terminal Oeste,3
U-22,U-22,Parque Capuava - Estação Utinga,3
U-26,U-26,Parque Capuava - Estação Utinga,3
I-07,I-07,Bairro Paraíso - Vila Lucinda,3
I-08,I-08,Bairro Paraíso - Jardim Utinga,3
