trip_id,arrival_time,departure_time,stop_id,stop_sequence
KPUM03_0,06:00:00,06:00:00,unimed,1
KPUM03_0,06:04:00,06:04:00,aksara,2
KPUM03_0,06:08:00,06:08:00,tembung,3
KPUM03_1,06:30:00,06:30:00,tembung,1
KPUM03_1,06:34:00,06:34:00,aksara,2
KPUM03_1,06:38:00,06:38:00,unimed,3
KPUM04_0,06:00:00,06:00:00,patumbak,1
KPUM04_0,06:04:00,06:04:00,uma,2
KPUM04_0,06:08:00,06:08:00,amplas,3
KPUM04_1,06:30:00,06:30:00,amplas,1
KPUM04_1,06:34:00,06:34:00,uma,2
KPUM04_1,06:38:00,06:38:00,patumbak,3
KPUM05_0,06:00:00,06:00:00,smraja,1
KPUM05_0,06:04:00,06:04:00,amplas,2
KPUM05_0,06:08:00,06:08:00,marendal,3
KPUM05_1,06:30:00,06:30:00,marendal,1
KPUM05_1,06:34:00,06:34:00,amplas,2
KPUM05_1,06:38:00,06:38:00,smraja,3
KPUM07_0,06:00:00,06:00:00,amplas,1
KPUM07_0,06:04:00,06:04:00,smraja,2
KPUM07_0,06:08:00,06:08:00,teladan,3
KPUM07_0,06:12:00,06:12:00,aksara,4
KPUM07_0,06:16:00,06:16:00,tembung,5
KPUM07_1,06:30:00,06:30:00,tembung,1
KPUM07_1,06:34:00,06:34:00,aksara,2
KPUM07_1,06:38:00,06:38:00,teladan,3
KPUM07_1,06:42:00,06:42:00,smraja,4
KPUM07_1,06:46:00,06:46:00,amplas,5
KPUM08_0,06:00:00,06:00:00,merdeka,1
KPUM08_0,06:04:00,06:04:00,katamso,2
KPUM08_0,06:08:00,06:08:00,maimun,3
KPUM08_0,06:12:00,06:12:00,titikuning,4
KPUM08_0,06:16:00,06:16:00,delitua,5
KPUM08_1,06:30:00,06:30:00,delitua,1
KPUM08_1,06:34:00,06:34:00,titikuning,2
KPUM08_1,06:38:00,06:38:00,maimun,3
KPUM08_1,06:42:00,06:42:00,katamso,4
KPUM08_1,06:46:00,06:46:00,merdeka,5
KPUM10_0,06:00:00,06:00:00,simalingkar,1
KPUM10_0,06:04:00,06:04:00,padangbulan,2
KPUM10_0,06:08:00,06:08:00,pringgan,3
KPUM10_0,06:12:00,06:12:00,merdeka,4
KPUM10_0,06:16:00,06:16:00,aksara,5
KPUM10_0,06:20:00,06:20:00,unimed,6
KPUM10_1,06:30:00,06:30:00,unimed,1
KPUM10_1,06:34:00,06:34:00,aksara,2
KPUM10_1,06:38:00,06:38:00,merdeka,3
KPUM10_1,06:42:00,06:42:00,pringgan,4
KPUM10_1,06:46:00,06:46:00,padangbulan,5
KPUM10_1,06:50:00,06:50:00,simalingkar,6
KPUM13_0,06:00:00,06:00:00,tuntungan,1
KPUM13_0,06:04:00,06:04:00,padangbulan,2
KPUM13_0,06:08:00,06:08:00,uma,3
KPUM13_1,06:30:00,06:30:00,uma,1
KPUM13_1,06:34:00,06:34:00,padangbulan,2
KPUM13_1,06:38:00,06:38:00,tuntungan,3
KPUM14_0,06:00:00,06:00:00,tembung,1
KPUM14_0,06:04:00,06:04:00,aksara,2
KPUM14_0,06:08:00,06:08:00,merdeka,3
KPUM14_0,06:12:00,06:12:00,pringgan,4
KPUM14_1,06:30:00,06:30:00,pringgan,1
KPUM14_1,06:34:00,06:34:00,merdeka,2
KPUM14_1,06:38:00,06:38:00,aksara,3
KPUM14_1,06:42:00,06:42:00,tembung,4
KPUM17_0,06:00:00,06:00:00,titikuning,1
KPUM17_0,06:04:00,06:04:00,katamso,2
KPUM17_0,06:08:00,06:08:00,merdeka,3
KPUM17_0,06:12:00,06:12:00,belawan,4
KPUM17_1,06:30:00,06:30:00,belawan,1
KPUM17_1,06:34:00,06:34:00,merdeka,2
KPUM17_1,06:38:00,06:38:00,katamso,3
KPUM17_1,06:42:00,06:42:00,titikuning,4
KPUM52_0,06:00:00,06:00:00,padangbulan,1
KPUM52_0,06:04:00,06:04:00,titikuning,2
KPUM52_0,06:08:00,06:08:00,pringgan,3
KPUM52_0,06:12:00,06:12:00,pinangbaris,4
KPUM52_1,06:30:00,06:30:00,pinangbaris,1
KPUM52_1,06:34:00,06:34:00,pringgan,2
KPUM52_1,06:38:00,06:38:00,titikuning,3
