route_id,route_short_name,route_long_name,route_type
r_06A,06-A,"Guadalupe - Taboan - Carbon (via V. Rama, Tres de Abril)",3
r_06B,06-B,"Guadalupe - Capitol - Carbon (via Don Gil Garcia, Osmena Blvd)",3
r_06H,06-H,Guadalupe - Capitol - Ayala - SM,3
r_12A,12-A,Labangon - Carbon - Tres de Abril,3
r_12E,12-E,Labangon - SM - NBT (via P. del Rosario),3
r_12K,12-K,"Labangon - Ayala (via A. Lopez, B. Rodriguez, Maxilom)",3
r_07A,07-A,Banawa - Taboan - Carbon (via V. Rama),3
r_01J,01-J,"Sambag I - Ayala - SM (via V. Rama, Osmena Blvd, Escario)",3
r_01A,01-A,"Sambag I (USC-GH) - Colon (via P. del Rosario, Sikatuna)",3
r_04A,04-A,"Lahug - Juana Osmena - Carbon (via Ramos, Fuente)",3
r_04F,04-F,Lahug - Ayala - SM,3
r_13B,13-B,Talamban - Echavez - Carbon,3
r_13D,13-D,"Talamban - SM (via Escario, Gorordo)",3
r_03A,03-A,Mabolo (Panagdait) - Carbon,3
r_03D,03-D,Mabolo - Lahug - Capitol,3
r_02B,02-B,Pier Area - South Bus Terminal (via Colon),3
r_02D,02-D,Pier Area - Taboan - SWU - SM,3
r_09A,09-A,"Basak (Bayanihan) - Taboan - Colon (via Carlock, Tupas)",3
r_10C,10-C,"Pardo - Colon (via Imus, Panganiban)",3
r_11A,11-A,Inayawan - Taboan - Colon - Carlock,3
r_21A,21-A,Mandaue (Ibabao) - Reclamation - Carbon,3
r_17B,17-B,"Apas - Carbon (via Escario, Osmena Blvd)",3
