trip_id,arrival_time,departure_time,stop_id,stop_sequence
nagpur-mahametro-r1-1d0-t1,06:00:00,06:00:00,nagpur-21.04935-79.04782,1
nagpur-mahametro-r1-1d0-t1,06:03:09,06:03:09,nagpur-21.06605-79.05581,2
nagpur-mahametro-r1-1d0-t1,06:05:36,06:05:36,nagpur-21.07906-79.06051,3
nagpur-mahametro-r1-1d0-t1,06:07:08,06:07:08,nagpur-21.08622-79.06377,4
nagpur-mahametro-r1-1d0-t1,06:09:04,06:09:04,nagpur-21.09635-79.06630,5
nagpur-mahametro-r1-1d0-t1,06:10:33,06:10:33,nagpur-21.10363-79.06814,6
nagpur-mahametro-r1-1d0-t1,06:11:45,06:11:45,nagpur-21.10913-79.06964,7
nagpur-mahametro-r1-1d0-t1,06:13:31,06:13:31,nagpur-21.11822-79.07209,8
nagpur-mahametro-r1-1d0-t1,06:15:23,06:15:23,nagpur-21.12767-79.07567,9
nagpur-mahametro-r1-1d0-t1,06:16:42,06:16:42,nagpur-21.12820-79.08253,10
nagpur-mahametro-r1-1d0-t1,06:19:07,06:19:07,nagpur-21.14178-79.08231,11
nagpur-mahametro-r1-1d0-t1,06:20:17,06:20:17,nagpur-21.14669-79.08062,12
nagpur-mahametro-r1-1d0-t1,06:21:48,06:21:48,nagpur-21.15437-79.08146,13
nagpur-mahametro-r1-1d0-t1,06:23:18,06:23:18,nagpur-21.16164-79.08371,14
nagpur-mahametro-r1-1d0-t1,06:25:17,06:25:17,nagpur-21.16866-79.09238,15
nagpur-mahametro-r1-1d0-t1,06:27:02,06:27:02,nagpur-21.17368-79.10071,16
nagpur-mahametro-r1-1d0-t1,06:28:57,06:28:57,nagpur-21.17945-79.10981,17
nagpur-mahametro-r1-1d0-t1,06:31:01,06:31:01,nagpur-21.18583-79.11975,18
nagpur-mahametro-r1-1d0-t2,08:00:00,08:00:00,nagpur-21.04935-79.04782,1
nagpur-mahametro-r1-1d0-t2,08:03:09,08:03:09,nagpur-21.06605-79.05581,2
nagpur-mahametro-r1-1d0-t2,08:05:36,08:05:36,nagpur-21.07906-79.06051,3
nagpur-mahametro-r1-1d0-t2,08:07:08,08:07:08,nagpur-21.08622-79.06377,4
nagpur-mahametro-r1-1d0-t2,08:09:04,08:09:04,nagpur-21.09635-79.06630,5
