route_id,route_short_name,route_long_name,route_type
R2,2,City Bus Stand - Panigate Tanki,3
R3,3,City Bus Stand - Bapod Byepass,3
R8,8,City Bus Stand - Nilamber,3
R10,10,City Bus Stand - Vadsar,3
R12,12,City Bus Stand - Maneja Vuda Na Makaan,3
R14,14,City Bus Stand - Jambuva Gam,3
R17,17,City Bus Stand - Makarpura Gam,3
R19,19,City Bus Stand - Bajwa Gam,3
R22,22,City Bus Stand - Chansad,3
R25,25,City Bus Stand - Karachiya Gam,3
R27,27,City Bus Stand - Gokul Nagar,3
R31,31,City Bus Stand - Karachiya Gam,3
