route_id,service_id,trip_id,trip_headsign
route_chilonzor,daily,trip_chilonzor_d0_first,Chinara
route_chilonzor,daily,trip_chilonzor_d0_mid,Chinara
route_chilonzor,daily,trip_chilonzor_d0_last,Chinara
route_chilonzor,daily,trip_chilonzor_d1_first,Buyuk Ipak Yuli (Maxim Gorky)
route_chilonzor,daily,trip_chilonzor_d1_mid,Buyuk Ipak Yuli (Maxim Gorky)
route_chilonzor,daily,trip_chilonzor_d1_last,Buyuk Ipak Yuli (Maxim Gorky)
route_ozbekiston,daily,trip_ozbekiston_d0_first,Dustlik (Chkalov)
route_ozbekiston,daily,trip_ozbekiston_d0_mid,Dustlik (Chkalov)
route_ozbekiston,daily,trip_ozbekiston_d0_last,Dustlik (Chkalov)
route_ozbekiston,daily,trip_ozbekiston_d1_first,Beruniy
route_ozbekiston,daily,trip_ozbekiston_d1_mid,Beruniy
route_ozbekiston,daily,trip_ozbekiston_d1_last,Beruniy
route_yunusobod,daily,trip_yunusobod_d0_first,Ming Urik
route_yunusobod,daily,trip_yunusobod_d0_mid,Ming Urik
route_yunusobod,daily,trip_yunusobod_d0_last,Ming Urik
route_yunusobod,daily,trip_yunusobod_d1_first,Turkistan
route_yunusobod,daily,trip_yunusobod_d1_mid,Turkistan
route_yunusobod,daily,trip_yunusobod_d1_last,Turkistan
route_circle,daily,trip_circle_d0_first,Kipchak
route_circle,daily,trip_circle_d0_mid,Kipchak
route_circle,daily,trip_circle_d0_last,Kipchak
route_circle,daily,trip_circle_d1_first,Technopark
route_circle,daily,trip_circle_d1_mid,Technopark
route_circle,daily,trip_circle_d1_last,Technopark
