trip_id,arrival_time,departure_time,stop_id,stop_sequence
BRT800_d1_001,05:00:00,05:00:00,S3832805123,1
BRT800_d1_001,05:01:32,05:01:32,S3832805121,2
BRT800_d1_001,05:02:50,05:02:50,S3832805120,3
BRT800_d1_001,05:05:11,05:05:11,S3832802223,4
BRT800_d1_001,05:06:53,05:06:53,S3832802224,5
BRT800_d1_001,05:09:29,05:09:29,S3832916607,6
BRT800_d1_001,05:11:44,05:11:44,S3832809197,7
BRT800_d1_001,05:15:56,05:15:56,S3832828995,8
BRT800_d1_001,05:18:22,05:18:22,S3832828997,9
BRT800_d1_001,05:20:36,05:20:36,S3832839065,10
BRT800_d1_001,05:22:27,05:22:27,S3832839067,11
BRT800_d1_001,05:25:01,05:25:01,S3832839069,12
BRT800_d1_001,05:27:46,05:27:46,S3832839072,13
BRT800_d1_001,05:30:11,05:30:11,S1237561922,14
BRT800_d1_001,05:31:58,05:31:58,S1237561875,15
BRT800_d1_001,05:33:33,05:33:33,S9006840432,16
BRT800_d1_001,05:34:54,05:34:54,S9006840430,17
BRT800_d1_001,05:36:29,05:36:29,S9006840428,18
BRT800_d1_001,05:38:05,05:38:05,S9006840427,19
BRT800_d1_001,05:39:12,05:39:12,S1237561748,20
BRT800_d1_001,05:41:18,05:41:18,S9006840426,21
BRT800_d1_001,05:42:44,05:42:44,S587842982,22
BRT800_d1_001,05:44:22,05:44:22,S9006840424,23
BRT800_d1_001,05:46:27,05:46:27,S8040620735,24
BRT800_d0_001,05:00:00,05:00:00,S8040620735,1
BRT800_d0_001,05:02:13,05:02:13,S9006840423,2
BRT800_d0_001,05:03:49,05:03:49,S9006840425,3
BRT800_d0_001,05:07:13,05:07:13,S1237561960,4
BRT800_d0_001,05:08:45,05:08:45,S9006833614,5
BRT800_d0_001,05:10:30,05:10:30,S1237562074,6
BRT800_d0_001,05:12:40,05:12:40,S798800325,7
BRT800_d0_001,05:14:25,05:14:25,S1237561664,8
BRT800_d0_001,05:15:35,05:15:35,S1237562005,9
BRT800_d0_001,05:18:03,05:18:03,S3832839071,10
BRT800_d0_001,05:20:23,05:20:23,S3832839070,11
BRT800_d0_001,05:22:53,05:22:53,S3832839068,12
BRT800_d0_001,05:24:50,05:24:50,S3832839066,13
BRT800_d0_001,05:26:56,05:26:56,S3832828998,14
BRT800_d0_001,05:30:06,05:30:06,S3832828996,15
BRT800_d0_001,05:34:20,05:34:20,S3832809196,16
BRT800_d0_001,05:35:57,05:35:57,S3832916606,17
BRT800_d0_001,05:38:22,05:38:22,S3832802225,18
BRT800_d0_001,05:40:52,05:40:52,S3832802222,19
BRT800_d0_001,05:42:53,05:42:53,S3832805119,20
BRT800_d0_001,05:44:17,05:44:17,S3832805122,21
BRT800_d0_001,05:45:49,05:45:49,S3832805123,22
BRT12_d0_001,05:00:00,05:00:00,S8948640231,1
BRT12_d0_001,05:01:50,05:01:50,S8901440768,2
BRT12_d0_001,05:03:41,05:03:41,S8894601181,3
BRT12_d0_001,05:05:26,05:05:26,S8894601177,4
BRT12_d0_001,05:07:46,05:07:46,S8894601175,5
BRT12_d0_001,05:09:38,05:09:38,S8878074311,6
BRT12_d0_001,05:11:26,05:11:26,S8913920457,7
BRT12_d0_001,05:12:57,05:12:57,S8912080041,8
BRT12_d0_001,05:14:28,05:14:28,S8912080044,9
BRT12_d0_001,05:16:02,05:16:02,S2376021807,10
BRT12_d0_001,05:17:13,05:17:13,S659567732,11
BRT12_d0_001,05:19:13,05:19:13,S8912080048,12
BRT12_d0_001,05:20:21,05:20:21,S417818185,13
BRT12_d0_001,05:22:13,05:22:13,S8912080054,14
BRT12_d0_001,05:24:14,05:24:14,S8850558855,15
BRT12_d0_001,05:25:49,05:25:49,S263268227,16
BRT12_d0_001,05:27:31,05:27:31,S8850558863,17
