route_id,route_short_name,route_long_name,route_type
noida-delhi-transp-r1,764,764: Najafgarh Sai Baba Mandir → Nehru Place,3
noida-delhi-transp-r2,507,507: Dhaula Kuan -> Okhla Extension,3
noida-delhi-transp-r3,511A,511A: Badarpur Border -> Dhaula Kuan,3
noida-delhi-transp-r4,764,764: Nehru Place -> Najafgarh Sai Baba Mandir,3
noida-delhi-transp-r5,793,793: H-3 Vikas Puri Terminal -> Delhi Secretariat (Rajhghat Power House),3
noida-delhi-transp-r6,720,720: Janakpuri B-1 Terminal -> Shahdara,3
noida-delhi-transp-r7,793,793: Delhi Secretariat (Rajghat Power House) -> H-3 Vikas Puri Terminal,3
noida-delhi-transp-r8,720,720: Shahdara -> Janakpuri B-1 Terminal,3
noida-delhi-transp-r9,611,611: Dhaula Kuan -> Mayur Vihar Phase 3,3
noida-delhi-transp-r10,511A,511A: Dhaula Kuan → Badarpur Border,3
noida-delhi-transp-r11,611,611: Mayur Vihar Phase 3 → Dhaula Kuan,3
noida-delhi-transp-r12,507,507: Okhla Extension -> Dhaula Kuan,3
noida-delhi-transp-r13,543,543: -> Anand Vihar ISBT,3
noida-delhi-transp-r14,543A,543A: Kapashera Border -> Anand Vihar ISBT,3
noida-delhi-transp-r15,518,518: Hazrat Nizamuddin Railway Station,3
noida-delhi-transp-r16,181A,181A: Jahangirpuri E-Block -> Nizamuddin Railway Station,3
noida-delhi-transp-r17,181A,181A: Nizamuddin Railway Station -> Jahangirpuri E-Block,3
noida-delhi-transp-r18,543B,543B: IGI Airport -> Anand Vihar ISBT,3
noida-delhi-transp-r19,543A,543A: Anand Vihar ISBT -> Kapashera Border,3
noida-delhi-transp-r20,794,794: Nizamuddin Railway Station -> Manglapuri,3
noida-delhi-transp-r21,794,794: Manglapuri -> Nizamuddin Railway Station,3
noida-delhi-transp-r22,764,764: Najafgarh Sai Baba Mandir → Nehru Place,3
noida-delhi-transp-r23,236,236: Anand Vihar ISBT -> Nangloi JJ Colony,3
noida-delhi-transp-r24,323,323: Noida Sector 62 → Dhaula Kuan,3
noida-delhi-transp-r25,543B,543B: Anand Vihar ISBT → IGI Airport,3
noida-delhi-transp-r26,623,623: Shahdara Terminal -> Vasant Vihar CPWD,3
noida-delhi-transp-r27,221,Bus 221: Anand Vihar ISBT -> Mori Gate Terminal,3
noida-delhi-transp-r28,443,443: Shahdara -> Badarpur Border,3
noida-delhi-transp-r29,33,33: Bhajanpura => Noida Sector 37,3
noida-delhi-transp-r30,319A,319A: Shahdara Terminal -> Noida Sector 37,3
noida-delhi-transp-r31,236CL,236CL: Anand Vihar ISBT => Kamruddin Nagar,3
noida-delhi-transp-r32,336A,336A: New Seemapuri -> ?,3
noida-delhi-transp-r33,336A,336A: ? -> New Seemapuri,3
noida-delhi-transp-r34,166,166: Nizamuddin Railway Station -> ?,3
noida-delhi-transp-r35,166,166: ? -> Nizamuddin Railway Station,3
