route_id,service_id,trip_id,trip_headsign
bengaluru-bengaluru-ci-r1,daily,bengaluru-bengaluru-ci-r1-1d0-t1,270A
bengaluru-bengaluru-ci-r1,daily,bengaluru-bengaluru-ci-r1-1d0-t2,270A
bengaluru-bengaluru-ci-r1,daily,bengaluru-bengaluru-ci-r1-1d0-t3,270A
bengaluru-bengaluru-ci-r1,daily,bengaluru-bengaluru-ci-r1-1d0-t4,270A
bengaluru-bengaluru-ci-r1,daily,bengaluru-bengaluru-ci-r1-1d0-t5,270A
bengaluru-bengaluru-ci-r1,daily,bengaluru-bengaluru-ci-r1-1d1-t1,270A
bengaluru-bengaluru-ci-r1,daily,bengaluru-bengaluru-ci-r1-1d1-t2,270A
bengaluru-bengaluru-ci-r1,daily,bengaluru-bengaluru-ci-r1-1d1-t3,270A
bengaluru-bengaluru-ci-r1,daily,bengaluru-bengaluru-ci-r1-1d1-t4,270A
bengaluru-bengaluru-ci-r1,daily,bengaluru-bengaluru-ci-r1-1d1-t5,270A
bengaluru-bengaluru-ci-r2,daily,bengaluru-bengaluru-ci-r2-2d0-t1,KBS3A
bengaluru-bengaluru-ci-r2,daily,bengaluru-bengaluru-ci-r2-2d0-t2,KBS3A
bengaluru-bengaluru-ci-r2,daily,bengaluru-bengaluru-ci-r2-2d0-t3,KBS3A
bengaluru-bengaluru-ci-r2,daily,bengaluru-bengaluru-ci-r2-2d0-t4,KBS3A
bengaluru-bengaluru-ci-r2,daily,bengaluru-bengaluru-ci-r2-2d0-t5,KBS3A
bengaluru-bengaluru-ci-r2,daily,bengaluru-bengaluru-ci-r2-2d1-t1,KBS3A
bengaluru-bengaluru-ci-r2,daily,bengaluru-bengaluru-ci-r2-2d1-t2,KBS3A
bengaluru-bengaluru-ci-r2,daily,bengaluru-bengaluru-ci-r2-2d1-t3,KBS3A
bengaluru-bengaluru-ci-r2,daily,bengaluru-bengaluru-ci-r2-2d1-t4,KBS3A
bengaluru-bengaluru-ci-r2,daily,bengaluru-bengaluru-ci-r2-2d1-t5,KBS3A
