route_id,route_short_name,route_long_name,route_type
111A,111A,Fortis Memorial Research Institute (Huda City Centre) - Hero Honda Chowk,3
114,114,Huda City Centre Metro - Business Zone Sector-50,3
116E,116E,Huda City Centre Metro - Gurugram Railway Station,3
118,118,Huda City Centre Metro - Sohna Bus Stand,3
133,133,MG Road Metro Station - Police Line Manesar,3
134,134,IFFCO Chowk Metro Station - Dhana Mode,3
212,212,Basai Talab - Basai Talab (via Huda City Centre) Circular,3
217,217,Gurugram Bus Stand - Bhondsi Police Chowki,3
221A,221A,Gurugram Railway Station - Badshahpur,3
254,254,Mahavir Chowk - Farrukhnagar Bus Stand,3
