route_id,service_id,trip_id,trip_headsign
jaipur-r1,daily,jaipur-1d0-t1,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t2,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t3,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t4,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t5,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t6,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t7,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t8,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t9,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t10,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t11,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t12,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t13,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t14,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t15,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t16,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t17,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t18,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t19,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t20,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t21,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t22,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t23,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t24,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t25,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t26,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t27,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t28,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t29,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t30,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t31,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t32,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t33,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t34,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t35,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t36,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-r1,daily,jaipur-1d0-t37,Pink Line (Mansarovar --> Badi Chaupar)
