route_id,route_short_name,route_long_name,route_type
C1,C1,City Market - Chainda,3
C2,C2,City Market - Chawama,3
C3,C3,City Market - Chelstone,3
C4,C4,City Market - Chunga,3
C5,C5,City Market - City Shine,3
C6,C6,City Market - Eden,3
C7,C7,City Market - Garden Chilulu,3
C8,C8,City Market - Kabanana,3
C9,C9,City Market - Kwa Jack,3
C10,C10,City Market - Middle West,3
C11,C11,City Market - Mutendere,3
C12,C12,City Market - Ngombe Mine-stone,3
C13,C13,City Market - Obama (Kamanga),3
C14,C14,City Market - Shifwankula,3
C15,C15,City Market - Twin Park,3
C16,C16,City Market - UTH Hospital,3
C17,C17,City Market - Villa Park,3
C18,C18,City Market - Zanimuone (Great N Rd.),3
K1,K1,Kulima Tower - Apex,3
K2,K2,Kulima Tower - Bauleni,3
K3,K3,Kulima Tower - Chainda,3
K4,K4,Kulima Tower - Chelstone,3
K5,K5,Kulima Tower - Chilanga,3
K6,K6,Kulima Tower - Chunga,3
K7,K7,Kulima Tower - Daina Kaimba (Zingalume),3
K8,K8,Kulima Tower - Garden Chilulu,3
K9,K9,Kulima Tower - Ibex Hill,3
K10,K10,Kulima Tower - Kabanana,3
K11,K11,Kulima Tower - Kamwala South,3
K12,K12,Kulima Tower - Kwa Jack,3
K13,K13,Kulima Tower - Lilanda,3
K14,K14,Kulima Tower - Lilayi,3
K15,K15,Kulima Tower - Linda,3
K16,K16,Kulima Tower - Makeni Konga,3
K17,K17,Kulima Tower - Mandevu,3
K18,K18,Kulima Tower - Maplot (Chipata),3
K19,K19,Kulima Tower - Meanwood Mtumbi,3
K20,K20,Kulima Tower - Mutendere,3
K21,K21,Kulima Tower - Obama (Kamanga),3
K22,K22,Kulima Tower - Shantumbu,3
K23,K23,Kulima Tower - UTH Hospital,3
K24,K24,Kulima Tower - Woodlands,3
K25,K25,Kulima Tower - Zanimuone,3
K26,K26,Kulima Tower - Zesco Munyaule,3
L1,L1,Lumumba - Eden,3
L2,L2,Lumumba - Kasupe,3
L3,L3,Lumumba - Kabanana,3
L4,L4,Lumumba - Lilanda,3
L5,L5,Lumumba - Mbasela,3
L6,L6,Lumumba - Obama (Kamanga),3
L7,L7,Lumumba - Sekelela,3
L8,L8,Lumumba - Zingalume,3
M1,M1,Millenium - Chazanga,3
M2,M2,Millenium - Chelstone,3
M3,M3,Millenium - Kabanana,3
M4,M4,Millenium - Lilanda,3
M5,M5,Millenium - Mandevu,3
M6,M6,Millenium - Maplot (Chipata),3
M7,M7,Millenium - Zanimuone (Great N Rd.),3
R1,R1,Mutendere - UTH Hospital,3
R2,R2,Mutendere - Chilenje,3
R3,R3,Kwa Jack - UTH Hospital,3
R4,R4,Chelstone - PF,3
R5,R5,Kalingalinga - Munali,3
R6,R6,Mass Media - Arcades Mall,3
R7,R7,Mutendere - Hybrid,3
