route_id,route_short_name,route_long_name,route_type
PINK,Pink Line,Mansarovar – Badi Chaupar,1
1,1,Bheru Khejda – Galtagate,3
1A,1A,TP Nagar – VKI Road No. 17,3
3,3,Dwarkapuri – Transport Nagar,3
3A,3A,Sanganer – Choti Chopar,3
6A,6A,Khirni Phatak – Jaipur Airport,3
7,7,Khirni Phatak – Transport Nagar,3
9A,9A,Dadi Ka Phatak – Agarwal Farm,3
10B,10B,Niwaru – Khole Ke Hanumanji,3
11,11,Ajmeri Gate – Goner,3
14,14,Chomu Pulia – Bassi Chak,3
15,15,Chandpole – Chomu,3
16,16,Ajmeri Gate – Chaksu,3
23A,23A,Ajmeri Gate – Patrakar Colony,3
24,24,Chandpole – Kalwad,3
25A,25A,Ajmeri Gate – Padampura,3
25B,25B,Ajmeri Gate – Titraya (Bhojyara),3
26,26,Chandpole – Bagru Bus Stand,3
27,27,Goner – Vatika,3
28,28,Ajmeri Gate – Renwal,3
30,30,Badi Chopad – Ramgarh,3
32,32,RSBTDA Heerapura – Nayla (Lali Gaav),3
34,34,JDA Colony – Ananda Manglam City,3
AC1,AC 1,Sanganer – Kukas,3
AC2,AC 2,Joshi Marg – Mahatma Gandhi Hospital,3
AC7,AC 7,Chomu Puliya – Dantli Phatak,3
AC8,AC 8,Choti Chopad – Mundiya Ramsar (Dhanakya),3
RBP2,RBP-2,Ramniwas Bag Parking circular,3
