route_id,service_id,trip_id,trip_headsign
AGV_165,DAILY,AGV_165_D0_001,Limbiate (Ospedale)
AGV_165,DAILY,AGV_165_D0_027,Limbiate (Ospedale)
AGV_165,DAILY,AGV_165_D0_052,Limbiate (Ospedale)
AGV_201,DAILY,AGV_201_D0_001,"Rozzano, Via Milano"
AGV_201,DAILY,AGV_201_D0_029,"Rozzano, Via Milano"
AGV_201,DAILY,AGV_201_D0_056,"Rozzano, Via Milano"
AGV_220,DAILY,AGV_220_D0_001,"Locate Triulzi, Via Piave"
AGV_220,DAILY,AGV_220_D0_037,"Locate Triulzi, Via Piave"
AGV_220,DAILY,AGV_220_D0_073,"Locate Triulzi, Via Piave"
AGV_222,DAILY,AGV_222_D0_001,"Pieve Emanuele, stazione FS"
AGV_222,DAILY,AGV_222_D0_017,"Pieve Emanuele, stazione FS"
AGV_222,DAILY,AGV_222_D0_033,"Pieve Emanuele, stazione FS"
AGV_230,DAILY,AGV_230_D0_001,"Basiglio, Via Don Silvio Coira"
AGV_230,DAILY,AGV_230_D0_027,"Basiglio, Via Don Silvio Coira"
AGV_230,DAILY,AGV_230_D0_052,"Basiglio, Via Don Silvio Coira"
AGV_328,DAILY,AGV_328_D0_001,"Pieve Emanuele, Stazione FS"
AGV_328,DAILY,AGV_328_D0_016,"Pieve Emanuele, Stazione FS"
AGV_328,DAILY,AGV_328_D0_031,"Pieve Emanuele, Stazione FS"
AGV_423,DAILY,AGV_423_D0_001,"Settimo Milanese, Via della Libertà"
AGV_423,DAILY,AGV_423_D0_026,"Settimo Milanese, Via della Libertà"
AGV_423,DAILY,AGV_423_D0_050,"Settimo Milanese, Via della Libertà"
AGV_433,DAILY,AGV_433_D0_001,Bisceglie M1
AGV_433,DAILY,AGV_433_D0_017,Bisceglie M1
AGV_433,DAILY,AGV_433_D0_033,Bisceglie M1
