route_id,service_id,trip_id,trip_headsign
R003,DAILY,T_003_0,Terminal Central
R003,DAILY,T_003_1,UEFS
R077,DAILY,T_077_0,Terminal Central
R077,DAILY,T_077_1,Mangabeira / Agrovila
R078,DAILY,T_078_0,Terminal Central
R078,DAILY,T_078_1,Mangabeira / Alto do Papagaio
R079,DAILY,T_079_0,Terminal Central
R079,DAILY,T_079_1,Queimadinha
R081,DAILY,T_081_0,Terminal Central
R081,DAILY,T_081_1,Morada das Arvores
R082,DAILY,T_082_0,Terminal Central
R082,DAILY,T_082_1,Novo Horizonte
R083,DAILY,T_083_0,Terminal Central
R083,DAILY,T_083_1,Pedra Ferrada
R084,DAILY,T_084_0,Terminal Central
R084,DAILY,T_084_1,Pedra Ferrada
R087,DAILY,T_087_0,Terminal Central
R087,DAILY,T_087_1,UEFS
R088,DAILY,T_088_0,Terminal Central
R088,DAILY,T_088_1,UEFS
R106,DAILY,T_106_0,Terminal Central
R106,DAILY,T_106_1,Rocinha / Conder
R111,DAILY,T_111_0,Terminal Norte
R111,DAILY,T_111_1,Conder / Av. Iguatemi
R119,DAILY,T_119_0,Terminal Norte
R119,DAILY,T_119_1,Joao Paulo II
R068,DAILY,T_068_0,Terminal Central
R068,DAILY,T_068_1,Conceicao II
R20000,DAILY,T_20000_0,Terminal Central
R20000,DAILY,T_20000_1,Cidade Nova
R21000,DAILY,T_21000_0,Terminal Central
R21000,DAILY,T_21000_1,Tomba
R22000,DAILY,T_22000_0,Terminal Central
R22000,DAILY,T_22000_1,Sobradinho
