route_id,service_id,trip_id,trip_headsign
L1,weekday,L1_weekday_d0_000,Hasheminejad Airport
L1,weekday,L1_weekday_d0_001,Hasheminejad Airport
L1,weekday,L1_weekday_d1_000,Vakil Abad
L1,weekday,L1_weekday_d1_001,Vakil Abad
L1,holiday,L1_holiday_d0_000,Hasheminejad Airport
L1,holiday,L1_holiday_d0_001,Hasheminejad Airport
L1,holiday,L1_holiday_d1_000,Vakil Abad
L1,holiday,L1_holiday_d1_001,Vakil Abad
L2,weekday,L2_weekday_d0_000,Shahid Fakouri
L2,weekday,L2_weekday_d0_001,Shahid Fakouri
L2,weekday,L2_weekday_d1_000,Tabarsi
L2,weekday,L2_weekday_d1_001,Tabarsi
L2,holiday,L2_holiday_d0_000,Shahid Fakouri
L2,holiday,L2_holiday_d0_001,Shahid Fakouri
L2,holiday,L2_holiday_d1_000,Tabarsi
L2,holiday,L2_holiday_d1_001,Tabarsi
L3,weekday,L3_weekday_d0_000,Imam Reza Terminal
L3,weekday,L3_weekday_d0_001,Imam Reza Terminal
L3,weekday,L3_weekday_d1_000,Shohada
L3,weekday,L3_weekday_d1_001,Shohada
L3,holiday,L3_holiday_d0_000,Imam Reza Terminal
L3,holiday,L3_holiday_d0_001,Imam Reza Terminal
L3,holiday,L3_holiday_d1_000,Shohada
L3,holiday,L3_holiday_d1_001,Shohada
