route_id,service_id,trip_id,trip_headsign
bhubaneswar-bhubaneswar--r1,daily,bhubaneswar-bhubaneswar--r1-1d0-t1,Coromandel Express: Chennai => Howrah
bhubaneswar-bhubaneswar--r1,daily,bhubaneswar-bhubaneswar--r1-1d0-t2,Coromandel Express: Chennai => Howrah
bhubaneswar-bhubaneswar--r1,daily,bhubaneswar-bhubaneswar--r1-1d0-t3,Coromandel Express: Chennai => Howrah
bhubaneswar-bhubaneswar--r1,daily,bhubaneswar-bhubaneswar--r1-1d0-t4,Coromandel Express: Chennai => Howrah
bhubaneswar-bhubaneswar--r1,daily,bhubaneswar-bhubaneswar--r1-1d0-t5,Coromandel Express: Chennai => Howrah
bhubaneswar-bhubaneswar--r1,daily,bhubaneswar-bhubaneswar--r1-1d1-t1,Coromandel Express: Chennai => Howrah
bhubaneswar-bhubaneswar--r1,daily,bhubaneswar-bhubaneswar--r1-1d1-t2,Coromandel Express: Chennai => Howrah
bhubaneswar-bhubaneswar--r1,daily,bhubaneswar-bhubaneswar--r1-1d1-t3,Coromandel Express: Chennai => Howrah
bhubaneswar-bhubaneswar--r1,daily,bhubaneswar-bhubaneswar--r1-1d1-t4,Coromandel Express: Chennai => Howrah
bhubaneswar-bhubaneswar--r1,daily,bhubaneswar-bhubaneswar--r1-1d1-t5,Coromandel Express: Chennai => Howrah
bhubaneswar-bhubaneswar--r2,daily,bhubaneswar-bhubaneswar--r2-2d0-t1,Coromandel Express: Howrah => Chennai
bhubaneswar-bhubaneswar--r2,daily,bhubaneswar-bhubaneswar--r2-2d0-t2,Coromandel Express: Howrah => Chennai
bhubaneswar-bhubaneswar--r2,daily,bhubaneswar-bhubaneswar--r2-2d0-t3,Coromandel Express: Howrah => Chennai
bhubaneswar-bhubaneswar--r2,daily,bhubaneswar-bhubaneswar--r2-2d0-t4,Coromandel Express: Howrah => Chennai
bhubaneswar-bhubaneswar--r2,daily,bhubaneswar-bhubaneswar--r2-2d0-t5,Coromandel Express: Howrah => Chennai
bhubaneswar-bhubaneswar--r2,daily,bhubaneswar-bhubaneswar--r2-2d1-t1,Coromandel Express: Howrah => Chennai
bhubaneswar-bhubaneswar--r2,daily,bhubaneswar-bhubaneswar--r2-2d1-t2,Coromandel Express: Howrah => Chennai
bhubaneswar-bhubaneswar--r2,daily,bhubaneswar-bhubaneswar--r2-2d1-t3,Coromandel Express: Howrah => Chennai
bhubaneswar-bhubaneswar--r2,daily,bhubaneswar-bhubaneswar--r2-2d1-t4,Coromandel Express: Howrah => Chennai
bhubaneswar-bhubaneswar--r2,daily,bhubaneswar-bhubaneswar--r2-2d1-t5,Coromandel Express: Howrah => Chennai
