trip_id,arrival_time,departure_time,stop_id,stop_sequence
varanasi-indian-railw-r1-1d0-t1,06:00:00,06:00:00,varanasi-25.32757-82.98601,1
varanasi-indian-railw-r1-1d0-t1,07:18:27,07:18:27,varanasi-25.76230-82.69940,2
varanasi-indian-railw-r1-1d0-t1,07:19:37,07:19:37,varanasi-25.76057-82.69944,3
varanasi-indian-railw-r1-1d0-t1,10:14:10,10:14:10,varanasi-26.76861-82.13476,4
varanasi-indian-railw-r1-1d0-t1,10:15:20,10:15:20,varanasi-26.76855-82.13432,5
varanasi-indian-railw-r1-1d0-t2,08:00:00,08:00:00,varanasi-25.32757-82.98601,1
varanasi-indian-railw-r1-1d0-t2,09:18:27,09:18:27,varanasi-25.76230-82.69940,2
varanasi-indian-railw-r1-1d0-t2,09:19:37,09:19:37,varanasi-25.76057-82.69944,3
varanasi-indian-railw-r1-1d0-t2,12:14:10,12:14:10,varanasi-26.76861-82.13476,4
varanasi-indian-railw-r1-1d0-t2,12:15:20,12:15:20,varanasi-26.76855-82.13432,5
varanasi-indian-railw-r1-1d0-t3,12:00:00,12:00:00,varanasi-25.32757-82.98601,1
varanasi-indian-railw-r1-1d0-t3,13:18:27,13:18:27,varanasi-25.76230-82.69940,2
varanasi-indian-railw-r1-1d0-t3,13:19:37,13:19:37,varanasi-25.76057-82.69944,3
varanasi-indian-railw-r1-1d0-t3,16:14:10,16:14:10,varanasi-26.76861-82.13476,4
varanasi-indian-railw-r1-1d0-t3,16:15:20,16:15:20,varanasi-26.76855-82.13432,5
varanasi-indian-railw-r1-1d0-t4,17:00:00,17:00:00,varanasi-25.32757-82.98601,1
varanasi-indian-railw-r1-1d0-t4,18:18:27,18:18:27,varanasi-25.76230-82.69940,2
varanasi-indian-railw-r1-1d0-t4,18:19:37,18:19:37,varanasi-25.76057-82.69944,3
varanasi-indian-railw-r1-1d0-t4,21:14:10,21:14:10,varanasi-26.76861-82.13476,4
varanasi-indian-railw-r1-1d0-t4,21:15:20,21:15:20,varanasi-26.76855-82.13432,5
