route_id,route_short_name,route_long_name,route_type
bus_1,1,Экономическая зона М.Улугбек – ЦУМ «Ташкент»,3
bus_2,2,"Массив Чиланзар, 25 квартал – Площадь Дархан",3
bus_3,3,Рынок ТТЗ – Рынок Юнусабад,3
bus_5,5,Массив Феруза – Торговый центр «Чорсу»,3
bus_8,8,"Массив Сергели-10 – Массив Чиланзар, 25 квартал",3
bus_12,12,Рынок Куйлюк – Международный аэропорт,3
bus_14,14,Вокзал «Ташкент» – Автостанция ТТЗ,3
bus_15,15,Массив Куйлюк-1 – Метро Дустлик,3
bus_18,18,"Метро Чиланзар – Массив Тузель, 3 квартал",3
bus_21,21,Массив Карасу-1 – ЦУМ «Ташкент»,3
bus_22,22,ЦУМ «Ташкент» – Метро Дустлик,3
bus_24,24,"Махалля Дурмень – Юнусабад, 6 квартал",3
bus_28,28,Медицинская академия – Массив Янгиабад,3
bus_37,37,ЦУМ «Ташкент» – Аэропорт местных линий,3
bus_51,51,"Юнусабад, 6 квартал – Площадь Бешагач",3
bus_55,55,Сквер Амира Темура – Ташкентский трубный завод,3
bus_63,63,Массив Карасу-1 – Рынок Юнусабад,3
bus_64,64,Массив Бирлик – Метро Пахтакор,3
bus_67,67,"Юнусабад, 19 квартал – Международный аэропорт",3
bus_68,68,Торговый центр «Чорсу» – Рынок Куйлюк,3
bus_76,76,Массив Каракамыш 2/4 – Международный аэропорт,3
bus_78,78,Метро Беруни – Вокзал «Ташкент»,3
bus_85,85,Массив Каракамыш 2/4 – ЦУМ «Ташкент»,3
bus_96,96,"Юнусабад, 9 квартал – Метро Машинасозлар",3
bus_97,97,Рынок Юнусабад – Вокзал «Ташкент»,3
bus_100,100,Массив Каракамыш 2/4 – Площадь Бешагач,3
bus_101,101,Метро Буюк Ипак Йули – Махалля Дархан,3
bus_124,124,"Юнусабад, 9 квартал – Метро Беруни",3
bus_157,157,"Юнусабад, 19 квартал – Метро Пахтакор",3
bus_161,161,Метро Алмазар – Посёлок Куёшли,3
bus_86,86,Массив Сергели-12 – Метро Алмазар,3
