route_id,route_short_name,route_long_name,route_type
mumbai-r1,1,Line 1 (Versova → Ghatkopar),1
mumbai-r2,1,Line 1 (Ghatkopar → Versova),1
mumbai-r3,3,Line 3 (Aarey JVLR → Cuffe Parade),1
mumbai-r4,4,Green Line (u/c),1
mumbai-r5,2,Line 2 (Andheri West → Dahisar (East)),1
mumbai-r6,2,Line 2 (Dahisar (East) → Andheri West),1
mumbai-r7,7,Line 7 (Gundavali → Dahisar (East)),1
mumbai-r8,7,Line 7 (Dahisar (East) → Gundavali),1
mumbai-r9,3,Line 3 (Cuffe Parade → Aarey JVLR),1
mumbai-r10,2B,Line 2B (Mandale → Diamond Garden),1
mumbai-r11,2B,Line 2B (Diamond Garden → Mandale),1
mumbai-r12,9,Line 9 (Kashigaon → Dahisar (East)),1
mumbai-r13,9,Line 9 (Dahisar (East) → Kashigaon),1
